Authors,Title,Year,Volume,T_tokens,T_tokens_join
Skager R.W.; Klein S.P.; Schultz C.B.,THE PREDICTION OF ACADEMIC AND ARTISTIC ACHIEVEMENT AT A SCHOOL OF DESIGN,1967,4,"['prediction', 'ACADEMIC', 'ARTISTIC', 'achievement', 'SCHOOL', 'design']",prediction ACADEMIC ARTISTIC achievement SCHOOL design
Jacobs S.S.,BIAS IN THE KEYING OF STANDARDIZED TESTS: A REEXAMINATION,1968,5,"['bias', 'KEYING', 'standardized', 'test', 'reexamination']",bias KEYING standardized test reexamination
CARVER R.P.,A MODEL FOR USING THE FINAL EXAMINATION AS A MEASURE OF THE AMOUNT LEARNED IN CLASSROOM LEARNING,1969,6,"['FINAL', 'examination', 'measure', 'LEARNED', 'CLASSROOM', 'LEARNING']",FINAL examination measure LEARNED CLASSROOM LEARNING
Braun J.R.; LaFaro D.,EFFECTS OF A GOOD IMPRESSION SET ON THE THORNDIKE DIMENSIONS OF TEMPERAMENT,1967,4,"['effect', 'good', 'impression', 'SET', 'THORNDIKE', 'dimension', 'TEMPERAMENT']",effect good impression SET THORNDIKE dimension TEMPERAMENT
Klein S.P.; Rock D.A.; Evans F.R.,THE USE OF MULTIPLE MODERATORS IN ACADEMIC PREDICTION,1968,5,"['MULTIPLE', 'moderators', 'ACADEMIC', 'prediction']",MULTIPLE moderators ACADEMIC prediction
BOWERS J.,INTERACTIVE EFFECTS OF CREATIVITY AND IQ ON NINTH‐GRADE ACHIEVEMENT,1969,6,"['interactive', 'effect', 'CREATIVITY', 'IQ', 'ON', 'NINTH‐GRADE', 'ACHIEVEMENT']",interactive effect CREATIVITY IQ ON NINTH‐GRADE ACHIEVEMENT
FLAUGHER R.L.; ROCK D.A.,A MULTIPLE MODERATOR APPROACH TO THE IDENTIFICATION OF OVER‐ AND UNDERACHIEVERS,1969,6,"['MULTIPLE', 'moderator', 'approach', 'identification', 'over‐', 'underachiever']",MULTIPLE moderator approach identification over‐ underachiever
Crawford W.R.,ITEM DIFFICULTY AS RELATED TO THE COMPLEXITY OF INTELLECTUAL PROCESSES,1968,5,"['ITEM', 'difficulty', 'relate', 'COMPLEXITY', 'INTELLECTUAL', 'process']",ITEM difficulty relate COMPLEXITY INTELLECTUAL process
Mason G.P.; Odeh R.E.,A SHORT‐CUT FORMULA FOR STANDARD DEVIATION,1968,5,"['short‐cut', 'formula', 'standard', 'deviation']",short‐cut formula standard deviation
Merenda P.F.; Jackson R.M.,RELATIONSHIP BETWEEN FOURTH GRADE AND SEVENTH GRADE PERFORMANCE ON THE IOWA TESTS OF BASIC SKILLS,1968,5,"['RELATIONSHIP', 'FOURTH', 'GRADE', 'SEVENTH', 'GRADE', 'performance', 'IOWA', 'test', 'basic', 'skill']",RELATIONSHIP FOURTH GRADE SEVENTH GRADE performance IOWA test basic skill
Sax G.; Collet L.S.,AN EMPIRICAL COMPARISON OF THE EFFECTS OF RECALL AND MULTIPLE‐CHOICE TESTS ON STUDENT ACHIEVEMENT,1968,5,"['EMPIRICAL', 'comparison', 'effect', 'RECALL', 'multiple‐choice', 'test', 'student', 'achievement']",EMPIRICAL comparison effect RECALL multiple‐choice test student achievement
BAIRD L.L.,THE PREDICTION OF GRADES IN OCCUPATIONAL AND ACADEMIC CURRICULA IN 2‐YEAR COLLEGES,1969,6,"['prediction', 'GRADES', 'OCCUPATIONAL', 'academic', 'curricula', '2‐year', 'college']",prediction GRADES OCCUPATIONAL academic curricula 2‐year college
Levine H.G.; McGuire C.,ROLE‐PLAYING AS AN EVALUATIVE TECHNIQUE,1968,5,"['role‐playe', 'evaluative', 'TECHNIQUE']",role‐playe evaluative TECHNIQUE
HivelyII W.; Patterson H.L.; Page S.H.,A “UNIVERSE‐DEFINED” SYSTEM OF ARITHMETIC ACHIEVEMENT TESTS,1968,5,"['""', 'universe‐defined', '""', 'system', 'ARITHMETIC', 'achievement', 'test']",""" universe‐defined "" system ARITHMETIC achievement test"
Ebbesen J.A.,KINDERGARTEN TEACHER RANKINGS AS PREDICTORS OF ACADEMIC ACHIEVEMENT IN THE PRIMARY GRADES,1968,5,"['KINDERGARTEN', 'teacher', 'ranking', 'predictors', 'academic', 'achievement', 'primary', 'GRADES']",KINDERGARTEN teacher ranking predictors academic achievement primary GRADES
OWENS T.R.; STUFFLEBEAM D.L.,AN EXPERIMENTAL COMPARISON OF ITEM SAMPLING AND EXAMINEE SAMPLING FOR ESTIMATING TEST NORMS,1969,6,"['experimental', 'comparison', 'item', 'SAMPLING', 'EXAMINEE', 'SAMPLING', 'estimate', 'test', 'NORMS']",experimental comparison item SAMPLING EXAMINEE SAMPLING estimate test NORMS
"Davis O.L., Jr; Personke C.R., Jr",EFFECTS OF ADMINISTERING THE METROPOLITAN READINESS TEST IN ENGLISH AND SPANISH TO SPANISH‐SPEAKING SCHOOL ENTRANTS,1968,5,"['effect', 'administer', 'METROPOLITAN', 'READINESS', 'test', 'ENGLISH', 'spanish', 'spanish‐speake', 'school', 'entrant']",effect administer METROPOLITAN READINESS test ENGLISH spanish spanish‐speake school entrant
LINN R.L.,A NOTE ON THE STABILITY OF THE IOWA TESTS OF BASIC SKILLS,1969,6,"['note', 'STABILITY', 'IOWA', 'test', 'basic', 'skill']",note STABILITY IOWA test basic skill
EAGLE N.; HARRIS A.S.,INTERACTION OF RACE AND TEST ON READING PERFORMANCE SCORES,1969,6,"['interaction', 'RACE', 'test', 'ON', 'read', 'PERFORMANCE', 'SCORES']",interaction RACE test ON read PERFORMANCE SCORES
Traub R.E.,COMMENT ON GLASS'RESPONSE,1968,5,"['comment', 'glassresponse']",comment glassresponse
Weigel R.G.; Frazier J.E.,THE EFFECTS OF “FEELING” AND “BEHAVIOR” INSTRUCTIONS ON RESPONSES TO THE EDWARDS PERSONAL PREFERENCE SCHEDULE,1968,5,"['effect', '""', 'feel', '""', '""', 'behavior', '""', 'instruction', 'response', 'EDWARDS', 'PERSONAL', 'preference', 'schedule']","effect "" feel "" "" behavior "" instruction response EDWARDS PERSONAL preference schedule"
